,username,tweets,hashtags,retweets,mentions
219,Actor_Siddharth,Thank you to the amazing @BeingSalmanKhan for launching our song with your wishes! God bless you Bhai!! https://youtu.be/0Up0YG0h5Ao #JilJungJuk,#JilJungJuk,203,@BeingSalmanKhan
220,Actor_Siddharth,HERE IT IS!!! #ShootTheKURUVI the first single from #JilJungJuk ... https://youtu.be/0Up0YG0h5Ao @Visky0811 @anirudhofficial @DeerajVaidy,#ShootTheKURUVI #JilJungJuk,78,@anirudhofficial @DeerajVaidy
221,Actor_Siddharth,@stonebenchers @karthiksubbaraj keep rocking benchers!,,3,@stonebenchers @karthiksubbaraj
222,Actor_Siddharth,"Happy #Diwali everyone. Peace, prosperity, love and happiness to us all!",#Diwali,118,
223,Actor_Siddharth,@iamVikramPrabhu @immancomposer @GnrKumaravelan looks really special! High quality stuff! Cheers guys! #Wagah,#Wagah,17,@iamVikramPrabhu @immancomposer @GnrKumaravelan
224,Actor_Siddharth,@Udhaystalin beautiful design nanba... Looking fresh! Go #Gethu :),#Gethu,31,@Udhaystalin
225,Actor_Siddharth,@Udhaystalin beautiful design nanba... Looking fresh! Go #Gethu :),#Gethu,18,@Udhaystalin
226,Actor_Siddharth,"Music by @Visky0811 ... Written by @kavi_vivi , sung by @anirudhofficial , 6pm tomorrow. #ShootTheKURUVI from #JilJungJuk #HappyDiwali",#ShootTheKURUVI #JilJungJuk #HappyDiwali,43,@kavi_vivi @anirudhofficial
227,Actor_Siddharth,What lovely words from @anirudhofficial about @Visky0811 ... Get ready for tomorrow #Vishalchandrashekar #ShootTheKURUVI #JilJungJuk,#Vishalchandrashekar #ShootTheKURUVI #JilJungJuk,34,@anirudhofficial
228,Actor_Siddharth,@actor_jayamravi wow! #Semma machi! Go for gold!,#Semma,83,@actor_jayamravi
229,Actor_Siddharth,@anirudhofficial it's going to be massive! All the best! Boom! #ThalaDiwali,#ThalaDiwali,495,@anirudhofficial
230,Actor_Siddharth,Something amazing-u is going to happen at 6 o' clock-u tomorrow!!!! #JilJungJuk #terripic,#JilJungJuk #terripic,172,
231,Actor_Siddharth,Why haven't I seen this till today? OMG! #brilliant So #creative! https://youtu.be/1oHWvFrpocY,#brilliant #creative,49,
232,Actor_Siddharth,"@AkhilAkkineni8 all the best for a sensational launch day after, boy! You look fantastic... And those dance moves...uff! Kill it:) #Akhil",#Akhil,55,@AkhilAkkineni8
233,Actor_Siddharth,"Only things that should be explosive during #Diwali are movies and music! Speaking of which, seen our teaser yet?",#Diwali,32,
234,Actor_Siddharth,"Every time a cracker goes off... My dogs look at me, disappointed. They go... 'what's wrong with you people? Same s#*t everytime!' #diwali",#diwali,130,
235,Actor_Siddharth,@arulnithitamil thank you Arul:),,2,@arulnithitamil
236,Actor_Siddharth,"Early morning crew celebration at Ratna Cafe, Triplicane, Chennai... Somethings are just right! Simple pleasures:) #JilJungJuk @Visky0811",#JilJungJuk,39,
237,Actor_Siddharth,#JilJungJuk music is composed by @Visky0811 It's his bday today! This is your year #Vishalchandrashekar #epic,#JilJungJuk #Vishalchandrashekar #epic,59,
238,Actor_Siddharth,@devakatta thank you Deva!,,3,@devakatta
239,Actor_Siddharth,@actor_jayamravi thank you Ravi!!,,25,@actor_jayamravi
240,Actor_Siddharth,@kayoas13 thank you master :),,4,@kayoas13
